Country,Year,AvgTemp,Country_CO2,Year_CO2,co2,co2_per_capita,total_ghg
Cuba,1997,26.86047023809524,Cuba,1997,24.824,2.257,53.909
Chile,1983,12.738742857142855,Chile,1983,20.674,1.719,57.669
Algeria,1998,18.521683333333332,Algeria,1998,105.74,3.518,172.446
Guatemala,1993,19.85425,Guatemala,1993,5.572,0.57,67.758
Armenia,1996,9.546416666666667,Armenia,1996,2.5,0.763,5.636
Peru,1979,17.738768,Peru,1979,22.217,1.312,125.924
Sudan,1978,28.09654166666667,Sudan,1978,3.156,0.201,46.15
Senegal,2012,26.778739583333333,Senegal,2012,7.362,0.553,21.433
Serbia,1976,9.288638888888888,Serbia,1976,41.141,5.397,57.99
Chad,2007,28.009124999999997,Chad,2007,1.089,0.098,58.374
Ghana,1985,26.503129629629626,Ghana,1985,3.144,0.23,25.849
Bolivia,1977,11.806154929577465,Bolivia,1977,4.476,0.832,74.629
United Kingdom,2005,10.302862745098038,United Kingdom,2005,570.338,9.412,714.9
Morocco,2001,18.62934166666667,Morocco,2001,36.809,1.277,61.019
Japan,1987,14.173936190476189,Japan,1987,902.207,7.399,979.995
China,2007,15.60341440349177,China,2007,6974.663,5.261,8701.73
Spain,2012,15.490025,Spain,2012,277.432,5.901,326.7
Malaysia,1979,26.91122916666667,Malaysia,1979,27.306,2.162,184.162
Malaysia,2005,27.330718749999992,Malaysia,2005,169.978,6.579,296.443
Malaysia,2013,27.643078125000002,Malaysia,2013,241.671,8.009,512.12
Ecuador,1997,22.04542307692308,Ecuador,1997,19.461,1.618,93.902
Chile,1991,12.447607142857143,Chile,1991,30.892,2.261,55.638
Turkey,1990,13.60664579901153,Turkey,1990,154.572,2.759,233.442
Australia,2002,17.598946428571427,Australia,2002,362.425,18.495,700.182
Uganda,1976,24.162250000000004,Uganda,1976,0.985,0.082,38.268
Poland,2007,9.604195175438596,Poland,2007,335.735,8.83,409.996
Kazakhstan,1987,8.371109756097562,Kazakhstan,1987,256.685,15.531,388.906
Sweden,1990,7.620288461538461,Sweden,1990,57.417,6.709,63.328
Laos,1991,24.851916666666668,Laos,1991,0.546,0.123,27.716
Laos,2010,25.496916666666667,Laos,2010,3.001,0.474,69.682
